Age_num,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,-5.226294639126911,-5.254660085737054,-5.283025532347197,-5.3113909789573395,-5.339756425567482,-5.368121872177625,-5.396487318787768,-5.424852765397911,-5.4532182120080535,-5.481583658618196,-5.509949105228339,-5.538314551838482,-5.566679998448625,-5.595045445058767,-5.62341089166891,-5.651776338279054,-5.680141784889196,-5.708507231499339,-5.736872678109481,-5.765238124719624,-5.7936035713297676,-5.82196901793991,-5.850334464550053,-5.878699911160195,-5.907065357770339,-5.9354308043804815
1,-7.8698001189371105,-7.902975444811069,-7.936150770685028,-7.969326096558986,-8.002501422432944,-8.035676748306903,-8.068852074180862,-8.10202740005482,-8.135202725928778,-8.168378051802737,-8.201553377676696,-8.234728703550653,-8.267904029424612,-8.30107935529857,-8.33425468117253,-8.367430007046487,-8.400605332920446,-8.433780658794404,-8.466955984668363,-8.50013131054232,-8.53330663641628,-8.566481962290238,-8.599657288164197,-8.632832614038154,-8.666007939912113,-8.699183265786072
2,-8.296259792448536,-8.326085111828016,-8.355910431207498,-8.38573575058698,-8.41556106996646,-8.445386389345941,-8.475211708725423,-8.505037028104905,-8.534862347484385,-8.564687666863867,-8.594512986243348,-8.624338305622828,-8.65416362500231,-8.683988944381792,-8.713814263761272,-8.743639583140753,-8.773464902520235,-8.803290221899717,-8.833115541279197,-8.862940860658679,-8.89276618003816,-8.92259149941764,-8.952416818797122,-8.982242138176604,-9.012067457556084,-9.041892776935565
3,-8.497618657154248,-8.52683428706169,-8.556049916969133,-8.585265546876576,-8.614481176784018,-8.643696806691459,-8.672912436598901,-8.702128066506344,-8.731343696413786,-8.760559326321228,-8.78977495622867,-8.818990586136113,-8.848206216043556,-8.877421845950998,-8.90663747585844,-8.935853105765883,-8.965068735673325,-8.994284365580766,-9.023499995488208,-9.052715625395651,-9.081931255303093,-9.111146885210536,-9.140362515117978,-9.16957814502542,-9.198793774932863,-9.228009404840305
4,-8.714967755451891,-8.744323667862579,-8.773679580273269,-8.803035492683959,-8.832391405094647,-8.861747317505337,-8.891103229916027,-8.920459142326715,-8.949815054737405,-8.979170967148095,-9.008526879558783,-9.037882791969473,-9.067238704380163,-9.096594616790851,-9.12595052920154,-9.155306441612229,-9.184662354022919,-9.214018266433609,-9.243374178844297,-9.272730091254987,-9.302086003665677,-9.331441916076365,-9.360797828487055,-9.390153740897745,-9.419509653308433,-9.448865565719123
5,-8.78213957906701,-8.811363633196711,-8.840587687326414,-8.869811741456116,-8.899035795585817,-8.92825984971552,-8.957483903845223,-8.986707957974923,-9.015932012104626,-9.045156066234329,-9.07438012036403,-9.103604174493732,-9.132828228623433,-9.162052282753136,-9.191276336882838,-9.22050039101254,-9.249724445142242,-9.278948499271944,-9.308172553401645,-9.337396607531348,-9.36662066166105,-9.395844715790751,-9.425068769920454,-9.454292824050157,-9.483516878179858,-9.51274093230956
6,-8.969684029552448,-8.999054824341775,-9.0284256191311,-9.057796413920427,-9.087167208709753,-9.11653800349908,-9.145908798288406,-9.175279593077732,-9.204650387867058,-9.234021182656384,-9.26339197744571,-9.292762772235037,-9.322133567024363,-9.351504361813689,-9.380875156603015,-9.410245951392342,-9.439616746181668,-9.468987540970994,-9.49835833576032,-9.527729130549647,-9.557099925338973,-9.586470720128299,-9.615841514917625,-9.64521230970695,-9.674583104496277,-9.703953899285604
7,-9.04860279444985,-9.077485576532169,-9.106368358614487,-9.135251140696806,-9.164133922779124,-9.193016704861442,-9.22189948694376,-9.250782269026079,-9.279665051108397,-9.308547833190715,-9.337430615273034,-9.366313397355352,-9.39519617943767,-9.424078961519989,-9.452961743602307,-9.481844525684625,-9.510727307766944,-9.539610089849262,-9.56849287193158,-9.597375654013899,-9.626258436096217,-9.655141218178535,-9.684024000260854,-9.712906782343172,-9.74178956442549,-9.770672346507808
8,-9.115982257576817,-9.143841775901704,-9.171701294226589,-9.199560812551473,-9.227420330876358,-9.255279849201244,-9.283139367526129,-9.310998885851014,-9.338858404175898,-9.366717922500785,-9.39457744082567,-9.422436959150554,-9.450296477475439,-9.478155995800325,-9.50601551412521,-9.533875032450094,-9.56173455077498,-9.589594069099865,-9.61745358742475,-9.645313105749635,-9.673172624074521,-9.701032142399406,-9.72889166072429,-9.756751179049175,-9.78461069737406,-9.812470215698946
9,-9.115382632302769,-9.142642525353606,-9.169902418404442,-9.19716231145528,-9.224422204506116,-9.251682097556953,-9.27894199060779,-9.306201883658627,-9.333461776709463,-9.3607216697603,-9.387981562811136,-9.415241455861972,-9.44250134891281,-9.469761241963646,-9.497021135014483,-9.52428102806532,-9.551540921116157,-9.578800814166993,-9.60606070721783,-9.633320600268666,-9.660580493319504,-9.68784038637034,-9.715100279421177,-9.742360172472013,-9.769620065522851,-9.796879958573687
10,-9.079705965459917,-9.106075307753315,-9.132444650046715,-9.158813992340113,-9.185183334633512,-9.21155267692691,-9.23792201922031,-9.26429136151371,-9.290660703807108,-9.317030046100507,-9.343399388393905,-9.369768730687305,-9.396138072980703,-9.422507415274103,-9.4488767575675,-9.4752460998609,-9.5016154421543,-9.527984784447698,-9.554354126741098,-9.580723469034496,-9.607092811327895,-9.633462153621295,-9.659831495914693,-9.686200838208093,-9.71257018050149,-9.73893952279489
11,-8.965715004264604,-8.991116773766086,-9.016518543267566,-9.041920312769047,-9.067322082270529,-9.092723851772009,-9.11812562127349,-9.143527390774972,-9.168929160276454,-9.194330929777934,-9.219732699279415,-9.245134468780897,-9.270536238282379,-9.295938007783858,-9.32133977728534,-9.346741546786822,-9.372143316288303,-9.397545085789783,-9.422946855291265,-9.448348624792747,-9.473750394294228,-9.499152163795708,-9.52455393329719,-9.549955702798671,-9.575357472300151,-9.600759241801633
12,-8.809564997624598,-8.834057358677358,-8.858549719730117,-8.883042080782877,-8.907534441835637,-8.932026802888398,-8.956519163941158,-8.981011524993917,-9.005503886046677,-9.029996247099437,-9.054488608152196,-9.078980969204956,-9.103473330257716,-9.127965691310475,-9.152458052363235,-9.176950413415996,-9.201442774468756,-9.225935135521516,-9.250427496574275,-9.274919857627035,-9.299412218679795,-9.323904579732554,-9.348396940785314,-9.372889301838073,-9.397381662890833,-9.421874023943595
13,-8.591507972354885,-8.614529458905979,-8.637550945457075,-8.66057243200817,-8.683593918559266,-8.70661540511036,-8.729636891661457,-8.752658378212551,-8.775679864763648,-8.798701351314742,-8.821722837865838,-8.844744324416933,-8.867765810968029,-8.890787297519124,-8.91380878407022,-8.936830270621314,-8.95985175717241,-8.982873243723505,-9.005894730274601,-9.028916216825696,-9.051937703376792,-9.074959189927888,-9.097980676478983,-9.121002163030079,-9.144023649581174,-9.16704513613227
14,-8.394269713288349,-8.415446579134217,-8.436623444980087,-8.457800310825956,-8.478977176671824,-8.500154042517693,-8.521330908363561,-8.54250777420943,-8.5636846400553,-8.584861505901168,-8.606038371747037,-8.627215237592905,-8.648392103438773,-8.669568969284644,-8.690745835130512,-8.71192270097638,-8.733099566822249,-8.754276432668117,-8.775453298513987,-8.796630164359856,-8.817807030205724,-8.838983896051593,-8.860160761897461,-8.881337627743331,-8.9025144935892,-8.923691359435068
