Age_num,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,0.005373398842429672,0.0052231214037309175,0.005077046762785338,0.004935057380266289,0.0047970390040605795,0.004662880577335221,0.004532474149175262,0.004405714787720833,0.004282500495733431,0.004162732128523609,0.004046313314173944,0.003933150375993129,0.0038231522571388035,0.003716230447348414,0.0036122989117192235,0.0035112740214801046,0.003413074486699452,0.0033176212908750144,0.0032248376273530813,0.003134648837525813,0.0030469823507570013,0.0029617676259879357,0.002878936094976348,0.002798421107122812,0.0027201578758401707,0.002644083426422852
1,0.0003821107312665344,0.00036964205303555847,0.00035758024099311454,0.00034591201866415863,0.00033462454279910075,0.0003237053892372001,0.0003131425392312522,0.0003029243662185148,0.00029303962302331164,0.0002834774294772332,0.00027422726044329864,0.0002652789342309047,0.0002566226013888046,0.00024824873386378844,0.0002401481145131226,0.00023231182695921223,0.00022473124577531429,0.00021739802699150522,0.00021030409891044504,0.00020344165322283501,0.00019680313641278518,0.00019038124144363754,0.00018416889971508592,0.00017815927328274585,0.00017234574733160588,0.00016672192289508166
2,0.00024944807206045844,0.00024211805702210033,0.00023500343398905478,0.00022809787368154448,0.00022139523280525822,0.0002148895485861791,0.00020857503346601012,0.00020244606995347013,0.00019649720562688687,0.00019072314828363581,0.0001851187612321163,0.00017967905872206941,0.00017439920150917555,0.00016927449254998926,0.00016430037282337486,0.0001594724172747292,0.0001547863308793858,0.0001502379448216926,0.00014582321278636899,0.00014153820735883944,0.0001373791165313459,0.0001333422403117251,0.00012942398743183726,0.0001256208721527191,0.00012192951116361547,0.0001183466205721324
3,0.00020395347432731773,0.00019808104614373273,0.00019237770266382885,0.00018683857543521718,0.00018145893618275812,0.0001762341927724411,0.00017115988529147453,0.00016623168224124486,0.00016144537683988853,0.00015679688343132552,0.00015228223399768714,0.00014789757477216142,0.00014363916294936473,0.00013950336349043184,0.00013548664602009659,0.00013158558181311508,0.0001277968408674588,0.0001241171890617792,0.00012054348539471638,0.00011707267930369859,0.00011370180806093907,0.00011042799424441124,0.00010724844328164158,0.00010416044106422424,0.00010116135163102077,9.824861491806747e-05
4,0.0001641109629709044,0.00015936336193631727,0.00015475310526420007,0.0001502762196902108,0.00014592884689341854,0.00014170724017108046,0.0001376077612096169,0.0001336268769489973,0.00012976115653783732,0.00012600726837658439,0.00012236197724623964,0.00011882214152014373,0.00011538471045642532,0.00011204672156877506,0.000108805298073281,0.00010565764640912707,0.00010260105383101284,9.96328860712256e-05,9.675058506934484e-05,9.395166676762482e-05,9.123371897015641e-05,8.859439926396019e-05,8.60314330002207e-05,8.354261133392349e-05,8.11257893202024e-05,7.877888406575819e-05
5,0.0001534494165583557,0.00014902989520316343,0.00014473766119416664,0.00014056904850801166,0.00013652049670707364,0.00013258854789846442,0.0001287698437806264,0.0001250611227749859,0.00012145921724021826,0.00011796105076674734,0.00011456363554916452,0.00011126406983432533,0.00010805953544294559,0.00010494729536257573,0.00010192469140990305,9.898914196038042e-05,9.613813974324448e-05,9.336924970004139e-05,9.068010690482792e-05,8.806841454427323e-05,8.55319419559376e-05,8.306852272304936e-05,8.067605282415469e-05,7.835248883606093e-05,7.609584618853578e-05,7.39041974692734e-05
6,0.0001272083798947585,0.00012352650317136793,0.00011995119345415618,0.00011647936630340432,0.00011310802655438312,0.00010983426573340743,0.00010665525954868051,0.00010356826545376045,0.00010057062028155077,9.76597379467711e-05,9.483310721492686e-05,9.208828953585326e-05,8.942291693996439e-05,8.683468999539256e-05,8.432137582425557e-05,8.188080617634036e-05,7.951087555854193e-05,7.720953941844174e-05,7.497481238046158e-05,7.28047665330687e-05,7.069752976555574e-05,6.865128415296039e-05,6.666426438773128e-05,6.473475625678733e-05,6.286109516265646e-05,6.104166468741798e-05
7,0.00011755517096523769,0.00011420841504682855,0.00011095694013635326,0.0001077980336157739,0.00010472906009436969,0.00010174745921010142,9.885074349357036e-05,9.603649629278935e-05,9.330236975703521e-05,9.064608287809992e-05,8.806541958730688e-05,8.555822690670451e-05,8.312241315289455e-05,8.075594619199698e-05,7.845685174429532e-05,7.622321173714823e-05,7.405316270479312e-05,7.194489423370671e-05,6.989664745222588e-05,6.79067135631682e-05,6.597343241822857e-05,6.409519113296205e-05,6.227042274119781e-05,6.04976048877614e-05,5.877525855841476e-05,5.710194684595448e-05
8,0.00010989532264320637,0.00010687594636154333,0.00010393952750619303,0.00010108378682013716,9.830650766899165e-05,9.560553432044824e-05,9.29787702709893e-05,9.042417661857457e-05,8.793977048004002e-05,8.552362345197778e-05,8.317386011390426e-05,8.088865657255235e-05,7.866623904616061e-05,7.650488248765839e-05,7.440290924567965e-05,7.235868776236426e-05,7.03706313069383e-05,6.843719674408937e-05,6.655688333617954e-05,6.472823157836894e-05,6.29498220657435e-05,6.12202743915691e-05,5.9538246075815105e-05,5.79024315231178e-05,5.631156100937336e-05,5.4764399696174066e-05
9,0.00010996123841656981,0.00010700419428412104,0.00010412667008185117,0.00010132652738401694,9.860168527076963e-05,9.595011878172258e-05,9.33698574111078e-05,9.085898364339759e-05,8.841563152830841e-05,8.603798529412286e-05,8.37242779983041e-05,8.14727902143954e-05,7.928184875423263e-05,7.714982542451855e-05,7.507513581683365e-05,7.305623813018759e-05,7.109163202523217e-05,6.917985750928848e-05,6.731949385135557e-05,6.550915852629832e-05,6.3747506187426e-05,6.203322766670181e-05,6.0365049001836594e-05,5.8741730489547505e-05,5.7162065764274376e-05,5.562488090167268e-05
