Age_num,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,-5.165588553144882,-5.193953999755026,-5.2223194463651685,-5.250684892975311,-5.279050339585455,-5.307415786195597,-5.33578123280574,-5.3641466794158825,-5.392512126026025,-5.420877572636169,-5.449243019246311,-5.477608465856454,-5.5059739124665965,-5.534339359076739,-5.562704805686883,-5.591070252297025,-5.619435698907168,-5.647801145517311,-5.676166592127454,-5.704532038737597,-5.732897485347739,-5.761262931957882,-5.789628378568025,-5.817993825178168,-5.846359271788311,-5.874724718398453
1,-7.9161047449951205,-7.949280070869079,-7.982455396743038,-8.015630722616997,-8.048806048490954,-8.081981374364913,-8.115156700238872,-8.14833202611283,-8.181507351986788,-8.214682677860747,-8.247858003734706,-8.281033329608665,-8.314208655482622,-8.34738398135658,-8.38055930723054,-8.413734633104497,-8.446909958978456,-8.480085284852414,-8.513260610726373,-8.54643593660033,-8.57961126247429,-8.612786588348248,-8.645961914222207,-8.679137240096164,-8.712312565970123,-8.745487891844082
2,-8.28498025679683,-8.314805576176312,-8.344630895555794,-8.374456214935273,-8.404281534314755,-8.434106853694237,-8.463932173073719,-8.493757492453199,-8.52358281183268,-8.553408131212162,-8.583233450591642,-8.613058769971124,-8.642884089350606,-8.672709408730086,-8.702534728109567,-8.732360047489049,-8.762185366868529,-8.79201068624801,-8.821836005627492,-8.851661325006972,-8.881486644386454,-8.911311963765936,-8.941137283145418,-8.970962602524898,-9.00078792190438,-9.030613241283861
3,-8.546870006087243,-8.576085635994685,-8.605301265902128,-8.63451689580957,-8.663732525717013,-8.692948155624453,-8.722163785531897,-8.751379415439338,-8.78059504534678,-8.809810675254223,-8.839026305161665,-8.868241935069108,-8.89745756497655,-8.926673194883993,-8.955888824791435,-8.985104454698877,-9.01432008460632,-9.04353571451376,-9.072751344421203,-9.101966974328645,-9.131182604236088,-9.16039823414353,-9.189613864050973,-9.218829493958415,-9.248045123865857,-9.2772607537733
4,-8.768403922249458,-8.797759834660148,-8.827115747070836,-8.856471659481526,-8.885827571892214,-8.915183484302904,-8.944539396713594,-8.973895309124282,-9.003251221534972,-9.032607133945662,-9.06196304635635,-9.09131895876704,-9.12067487117773,-9.150030783588418,-9.179386695999108,-9.208742608409798,-9.238098520820486,-9.267454433231176,-9.296810345641866,-9.326166258052554,-9.355522170463244,-9.384878082873934,-9.414233995284622,-9.443589907695312,-9.472945820106,-9.50230173251669
5,-8.896718221539144,-8.925942275668847,-8.955166329798548,-8.98439038392825,-9.013614438057953,-9.042838492187654,-9.072062546317357,-9.10128660044706,-9.13051065457676,-9.159734708706463,-9.188958762836165,-9.218182816965866,-9.247406871095569,-9.27663092522527,-9.305854979354972,-9.335079033484675,-9.364303087614378,-9.393527141744078,-9.422751195873781,-9.451975250003482,-9.481199304133185,-9.510423358262887,-9.539647412392588,-9.56887146652229,-9.598095520651993,-9.627319574781694
6,-9.007182709272033,-9.03655350406136,-9.065924298850685,-9.095295093640011,-9.124665888429337,-9.154036683218663,-9.18340747800799,-9.212778272797316,-9.242149067586643,-9.27151986237597,-9.300890657165295,-9.330261451954621,-9.359632246743947,-9.389003041533273,-9.4183738363226,-9.447744631111926,-9.477115425901253,-9.50648622069058,-9.535857015479905,-9.565227810269231,-9.594598605058557,-9.623969399847883,-9.65334019463721,-9.682710989426536,-9.712081784215862,-9.741452579005188
7,-9.076677923596797,-9.105560705679116,-9.134443487761434,-9.163326269843752,-9.19220905192607,-9.221091834008389,-9.249974616090707,-9.278857398173026,-9.307740180255344,-9.336622962337662,-9.36550574441998,-9.394388526502299,-9.423271308584617,-9.452154090666935,-9.481036872749254,-9.509919654831572,-9.53880243691389,-9.567685218996209,-9.596568001078527,-9.625450783160845,-9.654333565243164,-9.683216347325482,-9.7120991294078,-9.740981911490119,-9.769864693572437,-9.798747475654755
8,-9.088936045685154,-9.116795564010038,-9.144655082334923,-9.172514600659808,-9.200374118984694,-9.228233637309579,-9.256093155634463,-9.283952673959348,-9.311812192284235,-9.33967171060912,-9.367531228934004,-9.39539074725889,-9.423250265583775,-9.45110978390866,-9.478969302233544,-9.50682882055843,-9.534688338883315,-9.5625478572082,-9.590407375533085,-9.618266893857971,-9.646126412182856,-9.67398593050774,-9.701845448832625,-9.729704967157511,-9.757564485482396,-9.78542400380728
9,-9.121324154517595,-9.14858404756843,-9.175843940619268,-9.203103833670104,-9.230363726720942,-9.257623619771778,-9.284883512822615,-9.312143405873451,-9.339403298924289,-9.366663191975125,-9.39392308502596,-9.421182978076798,-9.448442871127636,-9.475702764178472,-9.502962657229308,-9.530222550280145,-9.557482443330981,-9.584742336381819,-9.612002229432655,-9.639262122483492,-9.666522015534328,-9.693781908585166,-9.721041801636002,-9.74830169468684,-9.775561587737675,-9.802821480788513
