,k_t
1933,76.06319724115353
1934,77.7830826880238
1935,76.1602770275856
1936,77.84355006648735
1937,73.75923566601377
1938,66.39711117389417
1939,62.25713353428671
1940,60.10094350010185
1941,57.077996943440745
1942,52.811325477985484
1943,55.60928563906429
1944,51.9379830162739
1945,48.624205781343356
1946,43.60845877618924
1947,38.63468990737644
1948,35.98383728092178
1949,32.903125644349714
1950,29.56917874342439
1951,28.723836915726817
1952,28.248105770481992
1953,25.039828295211585
1954,19.701885722149765
1955,18.867565509322173
1956,17.888392213393843
1957,19.45561240943785
1958,17.130742945787674
1959,16.609062271336562
1960,16.47433594677828
1961,13.616260913635454
1962,14.064470602029782
1963,15.064767961149622
1964,14.340872750886058
1965,13.963114371177584
1966,14.825733471555804
1967,13.140714041667714
1968,15.41630721283096
1969,14.655032975999097
1970,12.801014335256829
1971,11.547118280407588
1972,10.96369625668081
1973,10.187371562561223
1974,5.845637417995441
1975,2.2250664827585807
1976,-0.20430103628591925
1977,-1.5314092168592834
1978,-2.5843862784464156
1979,-5.149638128830098
1980,-5.369611299211316
1981,-8.240930639847775
1982,-11.26071904850971
1983,-13.231693199309206
1984,-14.077158042602596
1985,-14.21881815415673
1986,-13.619509894630124
1987,-14.264563456076377
1988,-13.828620424426925
1989,-14.985945076526834
1990,-17.557142612307466
1991,-18.080888489183376
1992,-20.558990179264992
1993,-18.883759595991755
1994,-20.26368322792474
1995,-21.420076155935426
1996,-24.853307944061434
1997,-28.56292731139527
1998,-30.840832155033677
1999,-31.588130790669034
2000,-33.021629368852835
2001,-33.52020957024049
2002,-34.11768100025654
2003,-34.9173883907123
2004,-37.164003139381656
2005,-37.52792929383075
2006,-39.367091077960374
2007,-40.65299816824662
2008,-42.96376696881259
2009,-44.90278123731211
2010,-47.72069144273526
2011,-47.49788169843554
2012,-48.61696764574934
2013,-48.75201821618308
2014,-49.168947108428675
2015,-47.284516099193134
2016,-45.10691752818871
2017,-45.07210576872946
2018,-46.50056404011272
2019,-47.06283440086157
2020,-37.77612865464192
2021,-31.93788278538135
2022,-35.9527652470254
2023,-40.988976128247415
2024,-45.1494474071288
