,k_t_forecast
2025,-46.48145449117585
2026,-47.81346157522292
2027,-49.14546865926997
2028,-50.47747574331703
2029,-51.809482827364086
2030,-53.14148991141115
2031,-54.473496995458206
2032,-55.80550407950526
2033,-57.13751116355232
2034,-58.46951824759938
2035,-59.80152533164644
2036,-61.133532415693494
2037,-62.46553949974056
2038,-63.797546583787614
2039,-65.12955366783467
2040,-66.46156075188173
2041,-67.7935678359288
2042,-69.12557491997585
2043,-70.45758200402291
2044,-71.78958908806996
2045,-73.12159617211702
2046,-74.45360325616409
2047,-75.78561034021114
2048,-77.1176174242582
2049,-78.44962450830525
2050,-79.78163159235231
