Age_num,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,-2.7921059502662073,-2.681111332746552,-2.7885717734131177,-2.768182444156965,-2.792513917047051,-2.8499363981094863,-2.930094356973119,-2.9237093307067936,-2.949688735052664,-3.029682102257058,-3.0988730324735045,-3.123292954974471,-3.1653587549034063,-3.1305215999026297,-3.3219334386856056,-3.342966210099251,-3.347732446993205,-3.424148761079264,-3.4325023074905707,-3.4394913243998366,-3.4843724901847546,-3.532936096380048,-3.5598531943782055,-3.5753722133203416,-3.5738022982728164,-3.5744085642281562,-3.5988193957462875,-3.612659428202527,-3.6527789884892137,-3.6593206518723917,-3.662705013144474,-3.6741090752104864,-3.7052527682318814,-3.7352166293223017,-3.7824870840791123,-3.7926412484080654,-3.8251116334388495,-3.8502226045226995,-3.957334228138149,-4.011291007086815,-4.042530403507929,-4.069086256008006,-4.129681626511786,-4.178596114669692,-4.244562983521754,-4.28279687374638,-4.322400157897331,-4.355112102133,-4.423598910584841,-4.453651538349182,-4.4958674510976415,-4.51049657238541,-4.5183504940355315,-4.55618956376647,-4.571155307400814,-4.57309029252468,-4.569127594641162,-4.6296678175884916,-4.679462790569946,-4.736190448426496,-4.75727296419805,-4.7951207699465375,-4.851070724424917,-4.879080854355954,-4.896726419988473,-4.888461910138579,-4.913054965757392,-4.930484899913427,-4.969877301624088,-4.95231921727342,-4.955153284637252,-4.964706362207856,-4.950622624190085,-4.956147108812186,-4.9543022207560945,-4.989803784516322,-5.025393665071801,-5.077737097636992,-5.096520033253426,-5.097664853069358,-5.101435658422752,-5.109185717825532,-5.0961931824579025,-5.094234317972569,-5.106540650983327,-5.123188280335587,-5.140630090712443,-5.223024382512605,-5.195219408544469,-5.182491801042446,-5.2030071867437115,-5.197929192516768
1,-4.660788609751104,-4.550871412580713,-4.720356595797209,-4.729487020495472,-4.78357940596213,-4.850175984159436,-5.066888235647054,-5.166412295668098,-5.199921044691843,-5.390213381252574,-5.3644571690525815,-5.509779413088409,-5.638556689738493,-5.725414774783315,-5.872437840686341,-5.970877913499594,-6.004347172938996,-6.051214551513756,-6.026884492339242,-6.050790013192797,-6.139500625935386,-6.2363425905681975,-6.272767012595724,-6.2920292453907765,-6.271707690462764,-6.312772347209423,-6.360212072280984,-6.3390381768003685,-6.40516346014325,-6.435254769537814,-6.4075862354046755,-6.440881542745329,-6.482487543577793,-6.454135128986925,-6.564875046065594,-6.552881956990033,-6.6158322122731015,-6.668738378511637,-6.702368449257186,-6.732122710338979,-6.721275712039519,-6.798004415023017,-6.828020310963283,-6.865654102963502,-6.876256611922766,-6.873353852264804,-6.95170716651132,-6.931023905921491,-6.985716820451849,-7.018686839689419,-7.055095866880846,-7.098915784443296,-7.117242503848861,-7.117242503848861,-7.148553765535068,-7.133401960514465,-7.129649610895915,-7.210212637016072,-7.203469523131182,-7.294889430405578,-7.289015698393484,-7.332403206507076,-7.360311994624152,-7.447323371613781,-7.491151595582963,-7.520244556524628,-7.548310009422912,-7.575234712793504,-7.573287292509109,-7.6375664439136735,-7.658531572378719,-7.608934631239347,-7.6396432878585125,-7.679945666882535,-7.635493904311701,-7.6375664439136735,-7.751725349276666,-7.737868314615239,-7.761071211694904,-7.784825297703011,-7.754053639036257,-7.877974352881847,-7.787232037733576,-7.804243383560112,-7.819058469345253,-7.844248718173811,-7.819058469345253,-7.904713913923747,-7.816573996017591,-7.712951963350705,-7.749402467860526,-7.8366247930631525
2,-5.437349575243594,-5.3283642879003335,-5.485611264968549,-5.46366381913603,-5.528737326833022,-5.637152392358438,-5.839945899469073,-5.91487394494627,-5.961905744866438,-6.119752567409513,-6.036043590505949,-6.119752567409513,-6.2732970947708715,-6.357901268248668,-6.442764191559946,-6.482487543577793,-6.566295500849885,-6.63925602594713,-6.591485749678443,-6.5691424778618135,-6.68301300630423,-6.745636429505702,-6.820660572131203,-6.843841953238484,-6.828944098557847,-6.803395263657894,-6.856112045830299,-6.846660179622326,-6.893852373813146,-6.903763257712599,-6.890898161915715,-6.9137733513077,-6.928978915433763,-6.941312062510979,-6.980325971816972,-6.987881323461422,-7.015340489662075,-7.065579364175704,-7.095290402828979,-7.078543599962418,-7.098915784443296,-7.194104906200139,-7.2210970982144955,-7.2404347173646535,-7.23904098891605,-7.251655031432146,-7.343164263463374,-7.332403206507076,-7.366621163817417,-7.415253112655453,-7.449040110232836,-7.509235271016259,-7.509235271016259,-7.512891582219369,-7.52765199780249,-7.554018873643232,-7.615001383921584,-7.667042262046627,-7.633425651247642,-7.6842840684811335,-7.66277786326017,-7.710717325549289,-7.780029125439517,-7.854505218341001,-7.929406526514119,-7.934977571563574,-7.926632599631393,-7.971966140932914,-7.983628080680758,-8.037858234741618,-7.995427627611912,-8.108400293215398,-8.06293791913864,-8.091925456011893,-8.125151103640214,-8.142187290792782,-8.170063660321036,-8.213391737084573,-8.228261899564025,-8.198739460297702,-8.258682496264736,-8.278176290945737,-8.258682496264736,-8.2170885989659,-8.274247012805848,-8.206038762779315,-8.326572831807587,-8.360189442606572,-8.274247012805848,-8.17360348702616,-8.159518747144421,-8.266434473069054
3,-5.775063676661165,-5.735273141747572,-5.815831978464824,-5.859384206750774,-5.912653366683692,-6.013710156055302,-6.168679166533792,-6.317194687197293,-6.3322661418904245,-6.392539306914854,-6.364849761752734,-6.433386192226761,-6.535502305080087,-6.63620258846024,-6.749043587827316,-6.732122710338979,-6.8006962066887295,-6.9137733513077,-6.908755779315721,-6.875288088844636,-6.915787450679401,-7.0412866716066596,-7.051625649401839,-7.138427096717138,-7.113550191961734,-7.0761739306071005,-7.143477612503207,-7.0904769157974314,-7.171720824816602,-7.174328388223683,-7.162647528610927,-7.206161314796893,-7.211566733363801,-7.207509932668187,-7.261577153938463,-7.251655031432146,-7.248838128161033,-7.27303859745747,-7.311222384427628,-7.329349769020185,-7.379360189594847,-7.382570465225094,-7.498345871216991,-7.491151595582963,-7.55211229537265,-7.536989133798429,-7.546414274258012,-7.590952128688914,-7.67778350387804,-7.673473152376918,-7.728735831051967,-7.834096346709794,-7.849363818840582,-7.799353398265921,-7.777639638042136,-7.804243383560112,-7.844248718173811,-7.932188169475995,-7.877974352881847,-8.00736806798383,-7.915613204381783,-7.992464662481256,-8.053459175184097,-8.053459175184097,-8.138756755695992,-8.239561454817958,-8.206038762779315,-8.318342332671072,-8.262550973042657,-8.339047006032763,-8.258682496264736,-8.403864506109235,-8.417347856446522,-8.431015495175185,-8.417347856446522,-8.403864506109235,-8.435613204423815,-8.487634389174692,-8.487634389174692,-8.487634389174692,-8.563237129917644,-8.579068595134325,-8.517193191416238,-8.502304578922487,-8.52724352726974,-8.563237129917644,-8.606024405122852,-8.579068595134325,-8.558015185936492,-8.412833176091995,-8.454218392254848,-8.468403027246806
4,-6.038136955306412,-6.011259174436161,-6.030621262309176,-6.087094778123232,-6.147884466379283,-6.250235276065343,-6.388366424555659,-6.514362752108242,-6.565585021246286,-6.61210503688118,-6.603216089463933,-6.6477013736478305,-6.686213009034901,-6.831720592706139,-6.995494193290144,-6.961156055709252,-7.0390035655920915,-7.102554357287205,-7.120948499443179,-7.05857816871672,-7.1409491661498485,-7.2630026709296835,-7.29931748192131,-7.289015698393484,-7.31722840848784,-7.308232845579262,-7.290480900120812,-7.291948251814762,-7.355606103586739,-7.432003923080268,-7.3777589082278725,-7.374564017331354,-7.376160186864175,-7.3777589082278725,-7.435388021064509,-7.443898710732418,-7.416915623429067,-7.476916479761091,-7.494742263713692,-7.557842970081635,-7.52951246345541,-7.615001383921584,-7.645899825472818,-7.701828378132043,-7.75872654473565,-7.751725349276666,-7.75872654473565,-7.864868005376548,-7.851931214345828,-7.951879382366177,-7.949042501030977,-8.047189562170502,-8.019452807198903,-8.00736806798383,-7.995427627611912,-8.037858234741618,-8.053459175184097,-8.125151103640214,-8.156028342204653,-8.213391737084573,-8.184298776142908,-8.17360348702616,-8.262550973042657,-8.318342332671072,-8.412833176091995,-8.468403027246806,-8.454218392254848,-8.50724286056307,-8.454218392254848,-8.497390564120058,-8.522205733239781,-8.573763542904631,-8.617013526698448,-8.633727007672189,-8.645026562926123,-8.662218963466495,-8.709565084063694,-8.765654550714737,-8.715644130140076,-8.679712120914012,-8.72791422273189,-8.721760357157512,-8.811564252018815,-8.721760357157512,-8.791630037117997,-8.804875263868018,-8.8387768155437,-8.881036624833582,-8.73410619297981,-8.697516745547519,-8.72791422273189,-8.685611843041201
5,-6.227186880629052,-6.20021221813846,-6.21011819314934,-6.2732970947708715,-6.3322661418904245,-6.449697720754802,-6.543112165394228,-6.653113060608557,-6.724600735884291,-6.767993336606978,-6.7422408405045635,-6.776727016575733,-6.781122628048771,-6.928978915433763,-7.044721134055294,-7.156216638280637,-7.154935408124588,-7.267291455201901,-7.060906458476312,-7.261577153938463,-7.324787023461767,-7.403692290254377,-7.421919804013642,-7.406981766904776,-7.435388021064509,-7.4524824544238095,-7.418580902748128,-7.4524824544238095,-7.494742263713692,-7.487573774235079,-7.507412116454743,-7.518401238030338,-7.531376396893472,-7.505592279737757,-7.550209345226564,-7.523941418405954,-7.565535315704791,-7.563606674798385,-7.525794987055277,-7.6649077895179945,-7.615001383921584,-7.742466023863869,-7.768138378917996,-7.784825297703011,-7.819058469345253,-7.857085864934493,-7.857085864934493,-7.9748689005908755,-8.00736806798383,-8.047189562170502,-8.06611757205602,-8.177155888630528,-8.166536319803068,-8.228261899564025,-8.220799178362435,-8.156028342204653,-8.224523577453418,-8.262550973042657,-8.258682496264736,-8.326572831807587,-8.412833176091995,-8.403864506109235,-8.449534542942423,-8.435613204423815,-8.444872529836612,-8.512205649905198,-8.563237129917644,-8.579068595134325,-8.668016081150821,-8.650724584040761,-8.685611843041201,-8.673847001461613,-8.785072636571838,-8.673847001461613,-8.818298284200159,-8.866750667586105,-8.845697258388274,-9.003326202591856,-8.87386813535497,-8.92516142974252,-8.88825687280707,-8.92516142974252,-8.89552963213615,-8.89552963213615,-8.955698153602603,-8.932708635377903,-8.910235779525845,-8.955698153602603,-8.902855672228222,-8.746606355744042,-8.772085441045027,-8.752915524937308
6,-6.334518395094749,-6.307271783285611,-6.319413212788318,-6.375951248830955,-6.451597056558454,-6.552881956990033,-6.690227466453563,-6.731284135866358,-6.807909944012421,-6.883062666391766,-6.821577582741084,-6.873353852264804,-6.906755778649053,-6.998774677369306,-7.138427096717138,-7.18879280871525,-7.29931748192131,-7.346260241168502,-7.251655031432146,-7.203469523131182,-7.520244556524628,-7.525794987055277,-7.520244556524628,-7.509235271016259,-7.5220912791177925,-7.554018873643232,-7.531376396893472,-7.536989133798429,-7.590952128688914,-7.617031841471966,-7.602904462212756,-7.650092703732854,-7.671324923838628,-7.62930193406378,-7.688641373850089,-7.62930193406378,-7.679945666882535,-7.669181300295377,-7.70848767022202,-7.728735831051967,-7.737868314615239,-7.834096346709794,-7.88592141457438,-7.902007552326004,-7.937774776184635,-7.921107723699423,-7.980699820901669,-8.02249694958013,-8.05031945517943,-8.131930790625592,-8.191493051776936,-8.224523577453418,-8.195109692247124,-8.274247012805848,-8.228261899564025,-8.318342332671072,-8.318342332671072,-8.334871634622283,-8.399410155759854,-8.512205649905198,-8.377431249041079,-8.463652424488208,-8.522205733239781,-8.522205733239781,-8.611503870887478,-8.668016081150821,-8.668016081150821,-8.721760357157512,-8.740336742730447,-8.831903936255937,-8.79823072114935,-8.759264752615966,-8.73410619297981,-8.881036624833582,-8.859683500363014,-8.995228992359237,-8.947976107508692,-9.070578429601024,-9.003326202591856,-9.12416267573513,-9.019720012367532,-9.070578429601024,-8.963480294044658,-9.011489513231018,-9.079312109569779,-9.06192036685791,-9.003326202591856,-9.088122739251933,-8.955698153602603,-8.92516142974252,-8.979228651012797,-8.940313234763122
7,-6.4309001747873,-6.408799827786634,-6.427182698387167,-6.469500348050982,-6.552881956990033,-6.6554413503681475,-6.810628568251414,-6.84760135616239,-6.866613335650962,-6.980325971816972,-6.902767737471098,-6.942346723751756,-7.018686839689419,-7.085686487474799,-7.23904098891605,-7.253066464270554,-7.302280447051967,-7.464624841249535,-7.468121348308264,-7.372970391496075,-7.437084374312687,-7.682112514967626,-7.6375664439136735,-7.641724454062337,-7.606920531867646,-7.66277786326017,-7.654303236269198,-7.652195753929633,-7.724200675886576,-7.717436275798034,-7.724200675886576,-7.761071211694904,-7.735577362868684,-7.7728777242818925,-7.782424336165473,-7.761071211694904,-7.751725349276666,-7.834096346709794,-7.796917343468039,-7.768138378917996,-7.777639638042136,-7.907427619795343,-7.951879382366177,-8.016417903503749,-8.105083540589405,-8.059768344377362,-8.170063660321036,-8.108400293215398,-8.187889444273637,-8.170063660321036,-8.209708491668277,-8.29005761883249,-8.368773186297965,-8.368773186297965,-8.330713624473619,-8.381788554410035,-8.364472104398574,-8.463652424488208,-8.537395898733758,-8.52724352726974,-8.463652424488208,-8.579068595134325,-8.542510999400527,-8.600574800355288,-8.656455258749745,-8.628124752123519,-8.709565084063694,-8.759264752615966,-8.845697258388274,-8.859683500363014,-8.845697258388274,-8.87386813535497,-8.859683500363014,-8.932708635377903,-8.917670758013363,-8.995228992359237,-9.10598035665194,-9.079312109569779,-9.09701168666918,-9.088122739251933,-9.133379330840054,-9.10598035665194,-9.133379330840054,-8.979228651012797,-9.019720012367532,-9.171119658822901,-9.12416267573513,-9.115030192171858,-9.053336623166517,-9.079312109569779,-9.053336623166517,-9.019720012367532
8,-6.5231733817903965,-6.497634359337779,-6.520454141501644,-6.558507850872202,-6.643085980839429,-6.7422408405045635,-6.906755778649053,-6.930000887929457,-6.962211464778195,-7.042430182308738,-6.966444275330817,-7.004266179362981,-7.088078833113419,-7.158784033785882,-7.343164263463374,-7.320245002027266,-7.333933428687843,-7.4421907683872615,-7.667042262046627,-7.536989133798429,-7.548310009422912,-7.542633551418106,-7.7705052439282625,-7.761071211694904,-7.695213139013323,-7.737868314615239,-7.763421389039857,-7.721940787919139,-7.831574277277084,-7.809157398362541,-7.849363818840582,-7.763421389039857,-7.839159648666341,-7.8417009460950124,-7.867475568783628,-7.794487208614748,-7.834096346709794,-7.872711182837573,-7.8966167036911274,-7.907427619795343,-7.918356690327533,-7.980699820901669,-8.095198781356862,-8.078938260485081,-8.05031945517943,-8.098482856558052,-8.156028342204653,-8.142187290792782,-8.166536319803068,-8.258682496264736,-8.302081811799292,-8.298057661499566,-8.37309284744248,-8.386164929009833,-8.339047006032763,-8.347450416829142,-8.347450416829142,-8.492500578825865,-8.497390564120058,-8.552820369059388,-8.468403027246806,-8.547652398900945,-8.568486485803788,-8.617013526698448,-8.691546578561015,-8.765654550714737,-8.703522769607732,-8.825077971185538,-8.859683500363014,-8.791630037117997,-8.87386813535497,-8.92516142974252,-8.89552963213615,-8.92516142974252,-8.932708635377903,-9.003326202591856,-9.088122739251933,-9.070578429601024,-9.036387064852745,-9.161550207806751,-9.10598035665194,-9.142681723502369,-9.10598035665194,-9.06192036685791,-9.09701168666918,-9.088122739251933,-9.142681723502369,-9.200390041123015,-9.12416267573513,-9.028018815182229,-9.088122739251933,-9.088122739251933
9,-6.604692104492054,-6.578451531839537,-6.591485749678443,-6.630881405246959,-6.725433722188183,-6.819744401659424,-6.962211464778195,-6.993313167343784,-7.024289095238089,-7.123426815457646,-6.999870567889943,-7.047017346315645,-7.1359113721198915,-7.195437351433918,-7.416915623429067,-7.395515629817131,-7.379360189594847,-7.473389139243123,-7.67778350387804,-7.697413359922926,-7.66277786326017,-7.633425651247642,-7.631361667026791,-7.902007552326004,-7.792062965003241,-7.829058552679836,-7.768138378917996,-7.829058552679836,-7.8806163623446865,-7.904713913923747,-7.8806163623446865,-7.932188169475995,-7.926632599631393,-7.902007552326004,-7.921107723699423,-7.918356690327533,-7.824046010856292,-7.932188169475995,-7.957577403480815,-7.957577403480815,-7.940579827112244,-8.040959012419865,-8.115066984573588,-8.170063660321036,-8.145629634983754,-8.209708491668277,-8.209708491668277,-8.202382451576204,-8.334871634622283,-8.274247012805848,-8.454218392254848,-8.444872529836612,-8.408338786504155,-8.463652424488208,-8.444872529836612,-8.377431249041079,-8.37309284744248,-8.542510999400527,-8.547652398900945,-8.606024405122852,-8.633727007672189,-8.679712120914012,-8.662218963466495,-8.673847001461613,-8.73410619297981,-8.772085441045027,-8.785072636571838,-8.852665927704367,-8.804875263868018,-8.831903936255937,-8.917670758013363,-8.859683500363014,-8.88825687280707,-9.003326202591856,-8.947976107508692,-9.070578429601024,-8.971323471505682,-9.133379330840054,-9.133379330840054,-9.10598035665194,-9.088122739251933,-9.12416267573513,-9.171119658822901,-9.115030192171858,-9.142681723502369,-9.070578429601024,-9.142681723502369,-9.230543079293703,-9.115030192171858,-9.070578429601024,-9.06192036685791,-9.088122739251933
