Age_num,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0.061292,0.068487,0.061509,0.062776,0.061267,0.057848,0.053392,0.053734,0.052356,0.048331,0.0451,0.044012,0.042199,0.043695,0.036083,0.035332,0.035164,0.032577,0.032306,0.032081,0.030673,0.029219,0.028443,0.028005,0.028049,0.028032,0.027356,0.02698,0.025919,0.02575,0.025663,0.025372,0.024594,0.023868,0.022766,0.022536,0.021816,0.021275,0.019114,0.01811,0.017553,0.017093,0.016088,0.01532,0.014342,0.013804,0.013268,0.012841,0.011991,0.011636,0.011155,0.010993,0.010907,0.010502,0.010346,0.010326,0.010367,0.009758,0.009284,0.008772,0.008589,0.00827,0.00782,0.007604,0.007471,0.007533,0.00735,0.007223,0.006944,0.007067,0.007047,0.00698,0.007079,0.00704,0.007053,0.006807,0.006569,0.006234,0.006118,0.006111,0.006088,0.006041,0.00612,0.006132,0.006057,0.005957,0.005854,0.005391,0.005543,0.005614,0.0055,0.005528
1,0.009459,0.010558,0.008912,0.008831,0.008366,0.007827,0.006302,0.005705,0.005517,0.004561,0.00468,0.004047,0.003558,0.003262,0.002816,0.002552,0.002468,0.002355,0.002413,0.002356,0.002156,0.001957,0.001887,0.001851,0.001889,0.001813,0.001729,0.001766,0.001653,0.001604,0.001649,0.001595,0.00153,0.001574,0.001409,0.001426,0.001339,0.00127,0.001228,0.001192,0.001205,0.001116,0.001083,0.001043,0.001032,0.001035,0.000957,0.000977,0.000925,0.000895,0.000863,0.000826,0.000811,0.000811,0.000786,0.000798,0.000801,0.000739,0.000744,0.000679,0.000683,0.000654,0.000636,0.000583,0.000558,0.000542,0.000527,0.000513,0.000514,0.000482,0.000472,0.000496,0.000481,0.000462,0.000483,0.000482,0.00043,0.000436,0.000426,0.000416,0.000429,0.000379,0.000415,0.000408,0.000402,0.000392,0.000402,0.000369,0.000403,0.000447,0.000431,0.000395
2,0.004351,0.004852,0.004146,0.004238,0.003971,0.003563,0.002909,0.002699,0.002575,0.002199,0.002391,0.002199,0.001886,0.001733,0.001592,0.00153,0.001407,0.001308,0.001372,0.001403,0.001252,0.001176,0.001091,0.001066,0.001082,0.00111,0.001053,0.001063,0.001014,0.001004,0.001017,0.000994,0.000979,0.000967,0.00093,0.000923,0.000898,0.000854,0.000829,0.000843,0.000826,0.000751,0.000731,0.000717,0.000718,0.000709,0.000647,0.000654,0.000632,0.000602,0.000582,0.000548,0.000548,0.000546,0.000538,0.000524,0.000493,0.000468,0.000484,0.00046,0.00047,0.000448,0.000418,0.000388,0.00036,0.000358,0.000361,0.000345,0.000341,0.000323,0.000337,0.000301,0.000315,0.000306,0.000296,0.000291,0.000283,0.000271,0.000267,0.000275,0.000259,0.000254,0.000259,0.00027,0.000255,0.000273,0.000242,0.000234,0.000255,0.000282,0.000286,0.000257
3,0.003104,0.00323,0.00298,0.002853,0.002705,0.002445,0.002094,0.001805,0.001778,0.001674,0.001721,0.001607,0.001451,0.001312,0.001172,0.001192,0.001113,0.000994,0.000999,0.001033,0.000992,0.000875,0.000866,0.000794,0.000814,0.000845,0.00079,0.000833,0.000768,0.000766,0.000775,0.000742,0.000738,0.000741,0.000702,0.000709,0.000711,0.000694,0.000668,0.000656,0.000624,0.000622,0.000554,0.000558,0.000525,0.000533,0.000528,0.000505,0.000463,0.000465,0.00044,0.000396,0.00039,0.00041,0.000419,0.000408,0.000392,0.000359,0.000379,0.000333,0.000365,0.000338,0.000318,0.000318,0.000292,0.000264,0.000273,0.000244,0.000258,0.000239,0.000259,0.000224,0.000221,0.000218,0.000221,0.000224,0.000217,0.000206,0.000206,0.000206,0.000191,0.000188,0.0002,0.000203,0.000198,0.000191,0.000183,0.000188,0.000192,0.000222,0.000213,0.00021
4,0.002386,0.002451,0.002404,0.002272,0.002138,0.00193,0.001681,0.001482,0.001408,0.001344,0.001356,0.001297,0.001248,0.001079,0.000916,0.000948,0.000877,0.000823,0.000808,0.00086,0.000792,0.000701,0.000676,0.000683,0.000664,0.00067,0.000682,0.000681,0.000639,0.000592,0.000625,0.000627,0.000626,0.000625,0.00059,0.000585,0.000601,0.000566,0.000556,0.000522,0.000537,0.000493,0.000478,0.000452,0.000427,0.00043,0.000427,0.000384,0.000389,0.000352,0.000353,0.00032,0.000329,0.000333,0.000337,0.000323,0.000318,0.000296,0.000287,0.000271,0.000279,0.000282,0.000258,0.000244,0.000222,0.00021,0.000213,0.000202,0.000213,0.000204,0.000199,0.000189,0.000181,0.000178,0.000176,0.000173,0.000165,0.000156,0.000164,0.00017,0.000162,0.000163,0.000149,0.000163,0.000152,0.00015,0.000145,0.000139,0.000161,0.000167,0.000162,0.000169
5,0.001975,0.002029,0.002009,0.001886,0.001778,0.001581,0.00144,0.00129,0.001201,0.00115,0.00118,0.00114,0.001135,0.000979,0.000872,0.00078,0.000781,0.000698,0.000858,0.000702,0.000659,0.000609,0.000598,0.000607,0.00059,0.00058,0.0006,0.00058,0.000556,0.00056,0.000549,0.000543,0.000536,0.00055,0.000526,0.00054,0.000518,0.000519,0.000539,0.000469,0.000493,0.000434,0.000423,0.000416,0.000402,0.000387,0.000387,0.000344,0.000333,0.00032,0.000314,0.000281,0.000284,0.000267,0.000269,0.000287,0.000268,0.000258,0.000259,0.000242,0.000222,0.000224,0.000214,0.000217,0.000215,0.000201,0.000191,0.000188,0.000172,0.000175,0.000169,0.000171,0.000153,0.000171,0.000148,0.000141,0.000144,0.000123,0.00014,0.000133,0.000138,0.000133,0.000137,0.000137,0.000129,0.000132,0.000135,0.000129,0.000136,0.000159,0.000155,0.000158
6,0.001774,0.001823,0.001801,0.001702,0.001578,0.001426,0.001243,0.001193,0.001105,0.001025,0.00109,0.001035,0.001001,0.000913,0.000794,0.000755,0.000676,0.000645,0.000709,0.000744,0.000542,0.000539,0.000542,0.000548,0.000541,0.000524,0.000536,0.000533,0.000505,0.000492,0.000499,0.000476,0.000466,0.000486,0.000458,0.000486,0.000462,0.000467,0.000449,0.00044,0.000436,0.000396,0.000376,0.00037,0.000357,0.000363,0.000342,0.000328,0.000319,0.000294,0.000277,0.000268,0.000276,0.000255,0.000267,0.000244,0.000244,0.00024,0.000225,0.000201,0.00023,0.000211,0.000199,0.000199,0.000182,0.000172,0.000172,0.000163,0.00016,0.000146,0.000151,0.000157,0.000161,0.000139,0.000142,0.000124,0.00013,0.000115,0.000123,0.000109,0.000121,0.000115,0.000128,0.000122,0.000114,0.000116,0.000123,0.000113,0.000129,0.000133,0.000126,0.000131
7,0.001611,0.001647,0.001617,0.00155,0.001426,0.001287,0.001102,0.001062,0.001042,0.00093,0.001005,0.000966,0.000895,0.000837,0.000718,0.000708,0.000674,0.000573,0.000571,0.000628,0.000589,0.000461,0.000482,0.00048,0.000497,0.00047,0.000474,0.000475,0.000442,0.000445,0.000442,0.000426,0.000437,0.000421,0.000417,0.000426,0.00043,0.000396,0.000411,0.000423,0.000419,0.000368,0.000352,0.00033,0.000302,0.000316,0.000283,0.000301,0.000278,0.000283,0.000272,0.000251,0.000232,0.000232,0.000241,0.000229,0.000233,0.000211,0.000196,0.000198,0.000211,0.000188,0.000195,0.000184,0.000174,0.000179,0.000165,0.000157,0.000144,0.000142,0.000144,0.00014,0.000142,0.000132,0.000134,0.000124,0.000111,0.000114,0.000112,0.000113,0.000108,0.000111,0.000108,0.000126,0.000121,0.000104,0.000109,0.00011,0.000117,0.000114,0.000117,0.000121
8,0.001469,0.001507,0.001473,0.001418,0.001303,0.00118,0.001001,0.000978,0.000947,0.000874,0.000943,0.000908,0.000835,0.000778,0.000647,0.000662,0.000653,0.000586,0.000468,0.000533,0.000527,0.00053,0.000422,0.000426,0.000455,0.000436,0.000425,0.000443,0.000397,0.000406,0.00039,0.000425,0.000394,0.000393,0.000383,0.000412,0.000396,0.000381,0.000372,0.000368,0.000364,0.000342,0.000305,0.00031,0.000319,0.000304,0.000287,0.000291,0.000284,0.000259,0.000248,0.000249,0.000231,0.000228,0.000239,0.000237,0.000237,0.000205,0.000204,0.000193,0.00021,0.000194,0.00019,0.000181,0.000168,0.000156,0.000166,0.000147,0.000142,0.000152,0.00014,0.000133,0.000137,0.000133,0.000132,0.000123,0.000113,0.000115,0.000119,0.000105,0.000111,0.000107,0.000111,0.000116,0.000112,0.000113,0.000107,0.000101,0.000109,0.00012,0.000113,0.000113
9,0.001354,0.00139,0.001372,0.001319,0.0012,0.001092,0.000947,0.000918,0.00089,0.000806,0.000912,0.00087,0.000796,0.00075,0.000601,0.000614,0.000624,0.000568,0.000463,0.000454,0.00047,0.000484,0.000485,0.00037,0.000413,0.000398,0.000423,0.000398,0.000378,0.000369,0.000378,0.000359,0.000361,0.00037,0.000363,0.000364,0.0004,0.000359,0.00035,0.00035,0.000356,0.000322,0.000299,0.000283,0.00029,0.000272,0.000272,0.000274,0.00024,0.000255,0.000213,0.000215,0.000223,0.000211,0.000215,0.00023,0.000231,0.000195,0.000194,0.000183,0.000178,0.00017,0.000173,0.000171,0.000161,0.000155,0.000153,0.000143,0.00015,0.000146,0.000134,0.000142,0.000138,0.000123,0.00013,0.000115,0.000127,0.000108,0.000108,0.000111,0.000113,0.000109,0.000104,0.00011,0.000107,0.000115,0.000107,9.8e-05,0.00011,0.000115,0.000116,0.000113
